label,x,y,plot_type,plot_num
FLKeys,0.0,523643.7176059668,path,0
FLKeys,100.0,523643.7176059668,path,0
FLKeys,110.8467411159098,523643.7176059668,path,0
FLKeys,122.8700001601754,523643.7176059668,path,0
FLKeys,136.19739098666756,532280.6668090487,path,0
FLKeys,150.97036939361482,532280.6668090487,path,0
FLKeys,167.34573452347308,539769.8402086829,path,0
FLKeys,185.4972931157519,539769.8402086829,path,0
FLKeys,205.61770427703783,544044.8500059064,path,0
FLKeys,227.92052434844507,544044.8500059064,path,0
FLKeys,252.64247357454533,543952.4712366728,path,0
FLKeys,280.045948632007,543952.4712366728,path,0
FLKeys,310.4218076857145,540345.4428639535,path,0
FLKeys,344.09245753271165,540345.4428639535,path,0
FLKeys,381.4152756006567,535596.4380333729,path,0
FLKeys,422.7864031215937,535596.4380333729,path,0
FLKeys,468.6449497414597,531660.180576884,path,0
FLKeys,519.4776541927018,531660.180576884,path,0
FLKeys,575.8240504979854,531660.180576884,path,0
FLKeys,638.2821945386473,528699.2365539826,path,0
FLKeys,707.5150117692028,528699.2365539826,path,0
FLKeys,784.2573334520068,525123.8754590726,path,0
FLKeys,869.3236960940833,525123.8754590726,path,0
FLKeys,963.6169868686669,519876.5204533197,path,0
FLKeys,1068.1380267832426,519876.5204533197,path,0
FLKeys,1183.996193309008,513051.9724041986,path,0
FLKeys,1312.4211952194635,513051.9724041986,path,0
FLKeys,1454.7761246152477,505236.5574402075,path,0
FLKeys,1612.5719246683295,505236.5574402075,path,0
FLKeys,1787.4834266449477,497178.5404753063,path,0
FLKeys,1981.367126422918,497178.5404753063,path,0
FLKeys,2196.2808891817544,489436.3934389566,path,0
FLKeys,2434.5057914095005,489436.3934389566,path,0
FLKeys,2698.5703320555212,480361.706818876,path,0
FLKeys,2991.277269804332,480361.706818876,path,0
FLKeys,3315.733371319062,480361.706818876,path,0
FLKeys,3675.38238619987,462811.7825453531,path,0
FLKeys,4074.0415986507173,462811.7825453531,path,0
FLKeys,4515.942343810835,420291.3629528324,path,0
FLKeys,5005.774918787747,420291.3629528324,path,0
FLKeys,5548.738365073797,338002.4572588343,path,0
FLKeys,6150.59565073252,338002.4572588343,path,0
FLKeys,6817.734838053883,224991.5410557246,path,0
FLKeys,7557.236885906782,224991.5410557246,path,0
FLKeys,8376.950806437137,120411.18045147299,path,0
FLKeys,9285.57697381849,120411.18045147299,path,0
FLKeys,10292.759469287112,55898.37403019309,path,0
FLKeys,11409.188442603985,55898.37403019309,path,0
FLKeys,12646.71357639954,28373.746807305804,path,0
FLKeys,14018.469857702212,28373.746807305804,path,0
FLKeys,15539.016991579034,21930.35778005567,path,0
FLKeys,17224.493936612842,21930.35778005567,path,0
FLKeys,19092.79020244282,21930.35778005567,path,0
FLKeys,21163.735727505577,31124.51636994819,path,0
FLKeys,23459.311352323435,31124.51636994819,path,0
